env_seed,sample_seed,outcome,steps,reward
100,5000,failure,200,0.0
100,5137,picked_right,25,1.0
100,5274,failure,200,0.0
100,5411,failure,200,0.0
100,5548,failure,200,0.0
100,5685,failure,200,0.0
100,5822,failure,200,0.0
100,5959,failure,200,0.0
100,6096,picked_left,17,1.0
100,6233,failure,200,0.0
101,5000,failure,200,0.0
101,5137,picked_right,26,1.0
101,5274,failure,200,0.0
101,5411,failure,200,0.0
101,5548,failure,200,0.0
101,5685,failure,200,0.0
101,5822,picked_left,58,1.0
101,5959,failure,200,0.0
101,6096,picked_left,43,1.0
101,6233,failure,200,0.0
102,5000,failure,200,0.0
102,5137,failure,200,0.0
102,5274,failure,200,0.0
102,5411,failure,200,0.0
102,5548,failure,200,0.0
102,5685,failure,200,0.0
102,5822,failure,200,0.0
102,5959,failure,200,0.0
102,6096,failure,200,0.0
102,6233,failure,200,0.0
103,5000,failure,200,0.0
103,5137,failure,200,0.0
103,5274,failure,200,0.0
103,5411,failure,200,0.0
103,5548,failure,200,0.0
103,5685,failure,200,0.0
103,5822,failure,200,0.0
103,5959,failure,200,0.0
103,6096,failure,200,0.0
103,6233,failure,200,0.0
104,5000,failure,200,0.0
104,5137,failure,200,0.0
104,5274,failure,200,0.0
104,5411,failure,200,0.0
104,5548,failure,200,0.0
104,5685,failure,200,0.0
104,5822,failure,200,0.0
104,5959,failure,200,0.0
104,6096,picked_left,17,1.0
104,6233,failure,200,0.0
105,5000,failure,200,0.0
105,5137,failure,200,0.0
105,5274,failure,200,0.0
105,5411,failure,200,0.0
105,5548,failure,200,0.0
105,5685,failure,200,0.0
105,5822,picked_left,43,1.0
105,5959,failure,200,0.0
105,6096,failure,200,0.0
105,6233,failure,200,0.0
106,5000,failure,200,0.0
106,5137,picked_right,25,1.0
106,5274,failure,200,0.0
106,5411,failure,200,0.0
106,5548,failure,200,0.0
106,5685,failure,200,0.0
106,5822,picked_left,49,1.0
106,5959,failure,200,0.0
106,6096,picked_left,20,1.0
106,6233,failure,200,0.0
107,5000,failure,200,0.0
107,5137,failure,200,0.0
107,5274,failure,200,0.0
107,5411,failure,200,0.0
107,5548,failure,200,0.0
107,5685,failure,200,0.0
107,5822,picked_left,43,1.0
107,5959,failure,200,0.0
107,6096,failure,200,0.0
107,6233,failure,200,0.0
108,5000,failure,200,0.0
108,5137,failure,200,0.0
108,5274,failure,200,0.0
108,5411,failure,200,0.0
108,5548,failure,200,0.0
108,5685,failure,200,0.0
108,5822,picked_left,64,1.0
108,5959,failure,200,0.0
108,6096,picked_left,18,1.0
108,6233,failure,200,0.0
109,5000,failure,200,0.0
109,5137,failure,200,0.0
109,5274,failure,200,0.0
109,5411,failure,200,0.0
109,5548,failure,200,0.0
109,5685,failure,200,0.0
109,5822,failure,200,0.0
109,5959,failure,200,0.0
109,6096,failure,200,0.0
109,6233,failure,200,0.0
