env_seed,sample_seed,outcome,steps,reward
100,5000,failure,200,0.0
100,5137,failure,200,0.0
100,5274,failure,200,0.0
100,5411,failure,200,0.0
100,5548,failure,200,0.0
100,5685,failure,200,0.0
100,5822,failure,200,0.0
100,5959,failure,200,0.0
100,6096,failure,200,0.0
100,6233,failure,200,0.0
101,5000,failure,200,0.0
101,5137,failure,200,0.0
101,5274,failure,200,0.0
101,5411,failure,200,0.0
101,5548,failure,200,0.0
101,5685,failure,200,0.0
101,5822,failure,200,0.0
101,5959,picked_left,17,1.0
101,6096,failure,200,0.0
101,6233,failure,200,0.0
102,5000,failure,200,0.0
102,5137,picked_right,26,1.0
102,5274,failure,200,0.0
102,5411,failure,200,0.0
102,5548,failure,200,0.0
102,5685,failure,200,0.0
102,5822,failure,200,0.0
102,5959,failure,200,0.0
102,6096,failure,200,0.0
102,6233,failure,200,0.0
103,5000,failure,200,0.0
103,5137,failure,200,0.0
103,5274,failure,200,0.0
103,5411,failure,200,0.0
103,5548,failure,200,0.0
103,5685,failure,200,0.0
103,5822,failure,200,0.0
103,5959,failure,200,0.0
103,6096,failure,200,0.0
103,6233,failure,200,0.0
104,5000,failure,200,0.0
104,5137,failure,200,0.0
104,5274,failure,200,0.0
104,5411,failure,200,0.0
104,5548,failure,200,0.0
104,5685,failure,200,0.0
104,5822,failure,200,0.0
104,5959,failure,200,0.0
104,6096,failure,200,0.0
104,6233,failure,200,0.0
